Name,US INDUSTRIAL PRODUCTION - TOTAL INDEX VOLA,Crude Oil Dated Brent U$/BBL,US TREASURY YIELD ADJUSTED TO CONSTANT MATURITY - 20 YEAR NADJ,US CPI- ALL URBAN SAMPLE: ALL ITEMS - ANNUAL INFLATION RATE NADJ
15/01/1950,14.4919,NA,NA,-2.08
15/02/1950,14.5475,NA,NA,-1.26
15/03/1950,15.0204,NA,NA,-0.84
15/04/1950,15.521,NA,NA,-1.26
15/05/1950,15.8826,NA,NA,-0.42
15/06/1950,16.3555,NA,NA,-0.42
15/07/1950,16.884,NA,NA,1.69
15/08/1950,17.4125,NA,NA,2.1
15/09/1950,17.3012,NA,NA,2.09
15/10/1950,17.4125,NA,NA,3.8
15/11/1950,17.3847,NA,NA,3.78
15/12/1950,17.6907,NA,NA,5.93
15/01/1951,17.7463,NA,NA,8.09
15/02/1951,17.8576,NA,NA,9.36
15/03/1951,17.941,NA,NA,9.32
15/04/1951,17.9688,NA,NA,9.32
15/05/1951,17.9132,NA,NA,9.28
15/06/1951,17.8297,NA,NA,8.82
15/07/1951,17.5516,NA,NA,7.47
15/08/1951,17.3847,NA,NA,6.58
15/09/1951,17.496,NA,NA,6.97
15/10/1951,17.4681,NA,NA,6.5
15/11/1951,17.6072,NA,NA,6.88
15/12/1951,17.7185,NA,NA,6
15/01/1952,17.9132,NA,NA,4.33
15/02/1952,18.0244,NA,NA,2.33
15/03/1952,18.0801,NA,NA,1.94
15/04/1952,17.9132,NA,NA,2.33
15/05/1952,17.7463,NA,NA,1.93
15/06/1952,17.5794,NA,NA,2.32
15/07/1952,17.3012,NA,NA,3.09
15/08/1952,18.4139,NA,NA,3.09
15/09/1952,19.0814,NA,NA,2.3
15/10/1952,19.2762,NA,NA,1.91
15/11/1952,19.6656,NA,NA,1.14
15/12/1952,19.7768,NA,NA,0.75
15/01/1953,19.8324,NA,NA,0.38
15/02/1953,19.9437,NA,NA,0.76
15/03/1953,20.1106,NA,NA,1.14
15/04/1953,20.1941,NA,3.08,0.76
15/05/1953,20.3053,NA,3.18,1.14
15/06/1953,20.2219,NA,3.21,1.13
15/07/1953,20.4722,NA,3.12,0.37
15/08/1953,20.3609,NA,3.1,0.75
15/09/1953,19.9437,NA,3.07,0.75
15/10/1953,19.7768,NA,2.95,1.12
15/11/1953,19.304,NA,2.95,0.75
15/12/1953,18.8311,NA,2.89,0.75
15/01/1954,18.692,NA,2.8,1.13
15/02/1954,18.7477,NA,2.72,1.51
15/03/1954,18.6364,NA,2.61,1.13
15/04/1954,18.5251,NA,2.6,0.75
15/05/1954,18.6364,NA,2.66,0.75
15/06/1954,18.692,NA,2.64,0.37
15/07/1954,18.7198,NA,2.57,0.37
15/08/1954,18.692,NA,2.58,0
15/09/1954,18.7198,NA,2.6,-0.37
15/10/1954,18.9424,NA,2.61,-0.74
15/11/1954,19.2483,NA,2.65,-0.37
15/12/1954,19.4987,NA,2.67,-0.74
15/01/1955,19.9437,NA,2.75,-0.74
15/02/1955,20.1941,NA,2.83,-0.74
15/03/1955,20.6669,NA,2.84,-0.74
15/04/1955,20.9173,NA,2.85,-0.37
15/05/1955,21.251,NA,2.87,-0.74
15/06/1955,21.2789,NA,2.86,-0.74
15/07/1955,21.4458,NA,2.94,-0.37
15/08/1955,21.4179,NA,3.01,-0.37
15/09/1955,21.557,NA,3,0.37
15/10/1955,21.9186,NA,2.93,0.37
15/11/1955,21.9742,NA,2.93,0.37
15/12/1955,22.0577,NA,2.98,0.37
15/01/1956,22.1968,NA,2.94,0.37
15/02/1956,22.0021,NA,2.91,0.37
15/03/1956,22.0021,NA,2.99,0.37
15/04/1956,22.169,NA,3.14,0.75
15/05/1956,21.9743,NA,3.06,1.12
15/06/1956,21.7796,NA,3,1.87
15/07/1956,21.112,NA,3.08,2.24
15/08/1956,21.9742,NA,3.22,1.87
15/09/1956,22.4749,NA,3.28,1.86
15/10/1956,22.6696,NA,3.26,2.23
15/11/1956,22.4749,NA,3.37,2.23
15/12/1956,22.8087,NA,3.45,2.99
15/01/1957,22.7253,NA,3.41,2.99
15/02/1957,22.9478,NA,3.3,3.36
15/03/1957,22.92,NA,3.32,3.73
15/04/1957,22.614,NA,3.4,3.72
15/05/1957,22.5306,NA,3.49,3.7
15/06/1957,22.5862,NA,3.65,3.31
15/07/1957,22.7253,NA,3.72,3.28
15/08/1957,22.7253,NA,3.75,3.66
15/09/1957,22.5306,NA,3.73,3.28
15/10/1957,22.1968,NA,3.76,2.91
15/11/1957,21.6683,NA,3.61,3.27
15/12/1957,21.251,NA,3.38,2.9
15/01/1958,20.8616,NA,3.27,3.62
15/02/1958,20.4166,NA,3.31,3.25
15/03/1958,20.1662,NA,3.29,3.6
15/04/1958,19.8325,NA,3.17,3.58
15/05/1958,20.0272,NA,3.17,3.21
15/06/1958,20.5557,NA,3.23,2.85
15/07/1958,20.8616,NA,3.39,2.47
15/08/1958,21.2789,NA,3.65,2.12
15/09/1958,21.4736,NA,3.8,2.12
15/10/1958,21.7239,NA,3.81,2.12
15/11/1958,22.3637,NA,3.76,2.11
15/12/1958,22.3915,NA,3.86,1.76
15/01/1959,22.7253,NA,3.95,1.4
15/02/1959,23.1703,NA,3.96,1.05
15/03/1959,23.5041,NA,3.99,0.35
15/04/1959,24.0048,NA,4.06,0.35
15/05/1959,24.3664,NA,4.13,0.35
15/06/1959,24.3942,NA,4.14,0.69
15/07/1959,23.8101,NA,4.16,0.69
15/08/1959,23.0034,NA,4.15,1.04
15/09/1959,22.9756,NA,4.29,1.38
15/10/1959,22.8087,NA,4.19,1.73
15/11/1959,22.9478,NA,4.2,1.38
15/12/1959,24.3664,NA,4.33,1.73
15/01/1960,25.0061,NA,4.42,1.03
15/02/1960,24.7836,NA,4.28,1.73
15/03/1960,24.5611,NA,4.14,1.73
15/04/1960,24.3664,NA,4.23,1.72
15/05/1960,24.3386,NA,4.2,1.72
15/06/1960,24.0326,NA,4.04,1.72
15/07/1960,23.9492,NA,3.91,1.37
15/08/1960,23.9213,NA,3.84,1.37
15/09/1960,23.671,NA,3.86,1.02
15/10/1960,23.6432,NA,3.92,1.36
15/11/1960,23.3094,NA,3.96,1.36
15/12/1960,22.8643,NA,3.91,1.36
15/01/1961,22.8922,NA,3.9,1.71
15/02/1961,22.8643,NA,3.84,1.36
15/03/1961,23.0034,NA,3.81,1.36
15/04/1961,23.4763,NA,3.81,1.02
15/05/1961,23.8379,NA,3.74,1.02
15/06/1961,24.1717,NA,3.89,0.68
15/07/1961,24.4498,NA,3.93,1.35
15/08/1961,24.6723,NA,4.04,1.01
15/09/1961,24.6446,NA,4.04,1.35
15/10/1961,25.1174,NA,4.01,0.67
15/11/1961,25.5068,NA,4,0.67
15/12/1961,25.7293,NA,4.07,0.67
15/01/1962,25.5068,NA,4.1,0.67
15/02/1962,25.924,NA,4.12,1.01
15/03/1962,26.0631,NA,4.04,1.01
15/04/1962,26.1188,NA,3.93,1.34
15/05/1962,26.0909,NA,3.92,1.34
15/06/1962,26.0353,NA,3.96,1.34
15/07/1962,26.2856,NA,4.05,1
15/08/1962,26.3135,NA,4.01,1.34
15/09/1962,26.4804,NA,4,1.33
15/10/1962,26.5082,NA,3.94,1.33
15/11/1962,26.6194,NA,3.93,1.33
15/12/1962,26.6194,NA,3.92,1.33
15/01/1963,26.8141,NA,3.93,1.33
15/02/1963,27.1201,NA,3.97,1
15/03/1963,27.287,NA,3.98,1.33
15/04/1963,27.5374,NA,4.03,0.99
15/05/1963,27.8711,NA,4.02,0.99
15/06/1963,27.9546,NA,4.02,1.32
15/07/1963,27.8433,NA,4.06,1.32
15/08/1963,27.899,NA,4.03,1.32
15/09/1963,28.1771,NA,4.09,0.99
15/10/1963,28.3718,NA,4.12,1.32
15/11/1963,28.5109,NA,4.16,1.32
15/12/1963,28.4553,NA,4.19,1.64
15/01/1964,28.7056,NA,4.19,1.64
15/02/1964,28.9003,NA,4.17,1.64
15/03/1964,28.9003,NA,4.22,1.31
15/04/1964,29.3732,NA,4.24,1.31
15/05/1964,29.5401,NA,4.2,1.31
15/06/1964,29.6235,NA,4.17,1.31
15/07/1964,29.8182,NA,4.16,1.3
15/08/1964,30.0129,NA,4.18,0.98
15/09/1964,30.1242,NA,4.2,1.3
15/10/1964,29.707,NA,4.2,0.97
15/11/1964,30.6249,NA,4.17,1.3
15/12/1964,30.9865,NA,4.18,0.97
15/01/1965,31.3203,NA,4.19,0.97
15/02/1965,31.515,NA,4.21,0.97
15/03/1965,31.9322,NA,4.2,1.29
15/04/1965,32.0713,NA,4.2,1.62
15/05/1965,32.3216,NA,4.21,1.62
15/06/1965,32.572,NA,4.21,1.94
15/07/1965,32.8779,NA,4.21,1.61
15/08/1965,33.017,NA,4.25,1.94
15/09/1965,33.1005,NA,4.3,1.61
15/10/1965,33.4343,NA,4.32,1.93
15/11/1965,33.5733,NA,4.4,1.6
15/12/1965,33.9905,NA,4.5,1.92
15/01/1966,34.3243,NA,4.52,1.92
15/02/1966,34.5469,NA,4.71,2.56
15/03/1966,35.0197,NA,4.72,2.56
15/04/1966,35.0754,NA,4.65,2.87
15/05/1966,35.4092,NA,4.69,2.87
15/06/1966,35.576,NA,4.73,2.53
15/07/1966,35.7707,NA,4.84,2.85
15/08/1966,35.7986,NA,4.95,3.48
15/09/1966,36.1323,NA,4.94,3.48
15/10/1966,36.3827,NA,4.83,3.79
15/11/1966,36.1323,NA,4.87,3.79
15/12/1966,36.2158,NA,4.76,3.46
15/01/1967,36.3866,NA,4.51,3.46
15/02/1967,35.9739,NA,4.61,2.81
15/03/1967,35.7712,NA,4.56,2.8
15/04/1967,36.1085,NA,4.64,2.48
15/05/1967,35.7935,NA,4.9,2.79
15/06/1967,35.789,NA,4.99,2.78
15/07/1967,35.7075,NA,5.01,2.77
15/08/1967,36.3916,NA,5.12,2.45
15/09/1967,36.3326,NA,5.16,2.75
15/10/1967,36.6285,NA,5.36,2.43
15/11/1967,37.1523,NA,5.66,2.74
15/12/1967,37.5525,NA,5.59,3.04
15/01/1968,37.512,NA,5.39,3.65
15/02/1968,37.6465,NA,5.38,3.95
15/03/1968,37.764,NA,5.59,3.94
15/04/1968,37.8186,NA,5.46,3.93
15/05/1968,38.2429,NA,5.55,3.92
15/06/1968,38.3833,NA,5.4,4.2
15/07/1968,38.3245,NA,5.29,4.49
15/08/1968,38.4314,NA,5.23,4.48
15/09/1968,38.577,NA,5.28,4.46
15/10/1968,38.6536,NA,5.44,4.75
15/11/1968,39.1535,NA,5.56,4.73
15/12/1968,39.2772,NA,5.88,4.72
15/01/1969,39.5148,NA,5.99,4.4
15/02/1969,39.7677,NA,6.11,4.68
15/03/1969,40.0795,NA,6.22,5.25
15/04/1969,39.932,NA,6.03,5.52
15/05/1969,39.7811,NA,6.11,5.51
15/06/1969,40.1698,NA,6.28,5.48
15/07/1969,40.3818,NA,6.27,5.44
15/08/1969,40.4746,NA,6.22,5.71
15/09/1969,40.4655,NA,6.55,5.7
15/10/1969,40.4774,NA,6.49,5.67
15/11/1969,40.0958,NA,6.74,5.93
15/12/1969,39.9882,NA,6.91,6.2
15/01/1970,39.2477,2.23,6.92,6.18
15/02/1970,39.2219,2.23,6.67,6.15
15/03/1970,39.171,2.23,6.72,5.82
15/04/1970,39.0702,2.23,6.85,6.06
15/05/1970,39.0247,2.23,7.24,6.04
15/06/1970,38.8985,2.23,7.34,6.01
15/07/1970,38.994,2.23,6.92,5.98
15/08/1970,38.9245,2.23,7.07,5.41
15/09/1970,38.6561,2.23,6.88,5.66
15/10/1970,37.8829,2.23,6.88,5.63
15/11/1970,37.6534,2.23,6.58,5.6
15/12/1970,38.5182,2.23,6.28,5.57
15/01/1971,38.8144,2.55,6.18,5.29
15/02/1971,38.7405,2.55,6.14,5
15/03/1971,38.6985,2.55,5.94,4.71
15/04/1971,38.9158,3.45,6,4.16
15/05/1971,39.1133,3.45,6.32,4.4
15/06/1971,39.2773,3.45,6.38,4.64
15/07/1971,39.1633,3.42,6.38,4.36
15/08/1971,38.936,3.42,6.27,4.62
15/09/1971,39.5688,3.42,6.05,4.08
15/10/1971,39.865,3.4,5.92,3.81
15/11/1971,40.0342,3.4,5.86,3.28
15/12/1971,40.4964,3.4,6,3.27
15/01/1972,41.4709,3.39,6.01,3.27
15/02/1972,41.8616,3.67,6.06,3.51
15/03/1972,42.1645,3.67,6.06,3.5
15/04/1972,42.6064,3.64,6.16,3.49
15/05/1972,42.582,3.64,6.07,3.23
15/06/1972,42.7051,3.64,6.01,2.71
15/07/1972,42.6924,3.62,6.01,2.95
15/08/1972,43.2568,3.62,5.94,2.94
15/09/1972,43.5838,3.62,6.05,3.19
15/10/1972,44.1699,3.62,6,3.42
15/11/1972,44.6846,3.62,5.79,3.67
15/12/1972,45.2006,3.62,5.96,3.41
15/01/1973,45.498,3.78,6.78,3.65
15/02/1973,46.1773,3.78,6.88,3.87
15/03/1973,46.1937,3.78,6.91,4.59
15/04/1973,46.1272,4.02,6.86,5.06
15/05/1973,46.4199,4.02,6.99,5.53
15/06/1973,46.4535,4.25,7.06,6
15/07/1973,46.648,4.42,7.29,5.73
15/08/1973,46.5669,4.58,7.61,7.38
15/09/1973,46.9866,4.58,7.25,7.36
15/10/1973,47.2997,4.6,7.18,7.8
15/11/1973,47.548,4.6,7.3,8.25
15/12/1973,47.4375,4.6,7.29,8.71
15/01/1974,47.1083,15.5,7.47,9.39
15/02/1974,46.9634,15.5,7.46,10.02
15/03/1974,46.9733,15.5,7.73,10.39
15/04/1974,46.83,13,8.01,10.09
15/05/1974,47.1848,13,8.14,10.71
15/06/1974,47.1292,13,8.1,10.86
15/07/1974,47.1505,11.5,8.26,11.51
15/08/1974,46.6882,11.5,8.6,10.86
15/09/1974,46.7161,11.5,8.59,11.95
15/10/1974,46.536,11.7,8.37,12.06
15/11/1974,45.0062,11.7,7.98,12.2
15/12/1974,43.4204,11.7,7.91,12.34
15/01/1975,42.8246,11.5,7.88,11.8
15/02/1975,41.8301,11.5,7.71,11.23
15/03/1975,41.3862,11.5,7.99,10.25
15/04/1975,41.4258,11.4,8.36,10.21
15/05/1975,41.3326,11.4,8.22,9.47
15/06/1975,41.6042,11.4,8.04,9.39
15/07/1975,42.0025,11.5,8.17,9.72
15/08/1975,42.4426,11.5,8.5,8.6
15/09/1975,42.9708,11.5,8.57,7.91
15/10/1975,43.1611,11.6,8.35,7.44
15/11/1975,43.2561,11.6,8.28,7.38
15/12/1975,43.7944,11.6,8.23,6.94
15/01/1976,44.4309,12.9,8.01,6.72
15/02/1976,44.8644,12.9,8.03,6.29
15/03/1976,44.916,12.9,7.97,6.07
15/04/1976,45.1733,12.95,7.86,6.05
15/05/1976,45.3729,12.95,8.13,6.2
15/06/1976,45.3841,12.95,8.03,5.97
15/07/1976,45.6491,13.15,8,5.35
15/08/1976,45.9698,13.15,7.91,5.71
15/09/1976,46.1015,13.15,7.78,5.49
15/10/1976,46.1172,13.56,7.7,5.46
15/11/1976,46.7939,13.56,7.64,4.88
15/12/1976,47.2798,13.56,7.3,4.86
15/01/1977,47.023,14.45,7.48,5.22
15/02/1977,47.7335,14.45,7.64,5.91
15/03/1977,48.3415,14.45,7.73,6.44
15/04/1977,48.7789,14.45,7.67,6.95
15/05/1977,49.2046,14.45,7.74,6.73
15/06/1977,49.5627,14.45,7.64,6.87
15/07/1977,49.6389,14.28,7.6,6.83
15/08/1977,49.6517,14.28,7.64,6.62
15/09/1977,49.8872,14.28,7.57,6.6
15/10/1977,49.9859,14.05,7.71,6.39
15/11/1977,50.0357,14.05,7.76,6.72
15/12/1977,50.1135,14.05,7.87,6.7
15/01/1978,49.4201,14.05,8.14,6.84
15/02/1978,49.6618,14,8.22,6.43
15/03/1978,50.6053,13.95,8.21,6.55
15/04/1978,51.6639,13.83,8.32,6.5
15/05/1978,51.8472,13.9,8.44,6.97
15/06/1978,52.2056,13.95,8.53,7.41
15/07/1978,52.1834,13.89,8.69,7.7
15/08/1978,52.3807,13.96,8.45,7.84
15/09/1978,52.5124,14.09,8.47,8.31
15/10/1978,52.9384,14.35,8.69,8.93
15/11/1978,53.3363,14.9,8.75,8.89
15/12/1978,53.6296,16.25,8.9,9.02
15/01/1979,53.2837,18.95,8.98,9.28
15/02/1979,53.5675,22,9.03,9.86
15/03/1979,53.7364,23.25,9.08,10.09
15/04/1979,53.1571,23.65,9.12,10.49
15/05/1979,53.5566,32.75,9.21,10.85
15/06/1979,53.5534,36.5,8.91,10.89
15/07/1979,53.4808,35,8.92,11.26
15/08/1979,53.1195,35.75,8.97,11.82
15/09/1979,53.1786,36.5,9.21,12.18
15/10/1979,53.4617,38.5,9.99,12.07
15/11/1979,53.409,42,10.37,12.61
15/12/1979,53.4536,40.5,10.18,13.29
15/01/1980,53.7071,40,10.65,13.91
15/02/1980,53.7262,38.5,12.21,14.18
15/03/1980,53.5481,38.25,12.49,14.76
15/04/1980,52.4571,38.15,11.42,14.73
15/05/1980,51.1904,38.5,10.44,14.41
15/06/1980,50.5575,38,9.89,14.38
15/07/1980,50.166,37.4,10.32,13.13
15/08/1980,50.353,33.6,11.07,12.87
15/09/1980,51.1727,33.4,11.47,12.6
15/10/1980,51.8129,37.9,11.75,12.77
15/11/1980,52.7175,40.85,12.44,12.65
15/12/1980,53.0142,40.15,12.49,12.52
15/01/1981,52.7119,40.3,12.29,11.83
15/02/1981,52.4633,38.7,12.98,11.41
15/03/1981,52.7501,38.35,12.94,10.49
15/04/1981,52.5233,37.19,13.46,10
15/05/1981,52.8211,35.19,13.82,9.78
15/06/1981,53.0699,33.25,13.2,9.55
15/07/1981,53.4044,35.06,13.92,10.76
15/08/1981,53.3959,35.8,14.52,10.8
15/09/1981,53.0761,35.91,15.07,10.95
15/10/1981,52.6972,36.54,15.13,10.14
15/11/1981,52.0996,37.12,13.56,9.59
15/12/1981,51.5219,36.7,13.73,8.92
15/01/1982,50.4933,35.85,14.57,8.39
15/02/1982,51.4979,31.62,14.48,7.62
15/03/1982,51.1159,29.3,13.75,6.78
15/04/1982,50.6623,33.12,13.57,6.51
15/05/1982,50.3505,35.18,13.46,6.68
15/06/1982,50.1943,34.6,14.18,7.06
15/07/1982,50.0395,33.7,13.76,6.44
15/08/1982,49.6075,32.85,12.91,5.85
15/09/1982,49.4584,34.25,12.16,5.04
15/10/1982,49.011,35,10.97,5.14
15/11/1982,48.8232,33.8,10.57,4.59
15/12/1982,48.4682,31.75,10.62,3.83
15/01/1983,49.3992,30.85,10.78,3.71
15/02/1983,49.089,29.1,11.03,3.49
15/03/1983,49.4906,28.2,10.8,3.6
15/04/1983,50.0805,29.75,10.63,3.9
15/05/1983,50.4295,29.6,10.67,3.55
15/06/1983,50.7333,30.2,11.12,2.58
15/07/1983,51.5016,30.8,11.59,2.46
15/08/1983,52.0679,31.1,11.96,2.56
15/09/1983,52.8472,30.35,11.82,2.86
15/10/1983,53.2874,29.85,11.77,2.85
15/11/1983,53.4759,29.2,11.92,3.27
15/12/1983,53.7593,28.95,12.02,3.79
15/01/1984,54.8216,29.56,11.82,4.19
15/02/1984,55.0698,29.88,12,4.6
15/03/1984,55.3384,30.08,12.45,4.8
15/04/1984,55.6911,30.13,12.65,4.56
15/05/1984,55.9506,29.9,13.43,4.23
15/06/1984,56.1549,29.2,13.54,4.22
15/07/1984,56.3326,27.91,13.36,4.2
15/08/1984,56.3847,28.11,12.71,4.29
15/09/1984,56.2832,28.36,12.42,4.27
15/10/1984,56.1943,27.81,12.04,4.26
